registered_title,corpus_title,review_status,reviewer,review_date,rationale
R&D Management,R and D Management,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Technology Analysis & Strategic Management,Technology Analysis and Strategic Management,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Journal of Innovation & Knowledge,Journal of Innovation and Knowledge,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Business & Society,Business and Society,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Group & Organization Management,Group and Organization Management,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Total Quality Management & Business Excellence,Total Quality Management and Business Excellence,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Journal of Personal Selling & Sales Management,Journal of Personal Selling and Sales Management,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Journal of Product & Brand Management,Journal of Product and Brand Management,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Psychology & Marketing,Psychology and Marketing,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Journal of Travel & Tourism Marketing,Journal of Travel and Tourism Marketing,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Journal of Hospitality Marketing & Management,Journal of Hospitality Marketing and Management,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
International Journal of Retail & Distribution Management,International Journal of Retail and Distribution Management,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Information & Management,Information and Management,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Information Processing & Management,Information Processing and Management,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Industrial Management & Data Systems,Industrial Management and Data Systems,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
International Review of Economics & Finance,International Review of Economics and Finance,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Journal of Economic Behavior & Organization,Journal of Economic Behavior and Organization,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Manufacturing & Service Operations Management,Manufacturing and Service Operations Management,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Production Planning & Control,Production Planning and Control,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
International Journal of Operations & Production Management,International Journal of Operations and Production Management,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
International Journal of Physical Distribution & Logistics Management,International Journal of Physical Distribution and Logistics Management,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Journal of Purchasing & Supply Management,Journal of Purchasing and Supply Management,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
Computers & Operations Research,Computers and Operations Research,approved,systematic_variant_review,2026-07-21,Ampersand represented as and in Scopus source title
